time,message
1/29/2017 16:32,"Can you tell me how to order a SKINNY Vanilla Latte from the mobile app? Also, how to order a Skinny Caramel Macchiato using the mobile app?"
1/29/2017 16:02,Why are you still promoting the sale of the Lunar Rooster when it is Out of Stock?  It's an awful tease.
1/29/2017 15:51,"Dear Starbucks,
   As a type 1 diabetic and lover of coffee I just wanted to share my disgust with the amount of sugar that gets shoveled into almost every drink that gets sold. How did we get to a point where the 'standard' drink comes with tablespoon after tablespoon of sugar? Moreover, the prepackaged items rarely, if ever, have a low or zero sugar option. I love your coffee but for my health and others, please reduce the sugar content. 

Ps- the global population of diabetics is about 390 million people, not to mention the millions of other people with dietary issues that require low/no sugar content"
1/29/2017 15:10,Will you ever have vegan treats at Starbucks?
1/29/2017 14:11,"I have a question about star dashes.  When you have to make x amount of purchases, what qualifies as a purchase?  Is it number of items ordered, or is a purchase each transaction.  The barista doesn't know and I feel a little silly having all my items rang up separately, especially if not needed.  I would love it if you could clear this up for me.  Thank you."
1/29/2017 13:46,"In the Starbucks cofee (Bucharest,Platza Mall) the employees doesn't stpos customers from smokes and even encourages them to smokes; they doesn't respect the law.I am desapointed"
1/29/2017 12:36,"I am so angry with the lady working behind the counter at the Louetta /Steubner Airline location in Spring, TX. Nearly every morning I sit in my driveway at 5:55am and order my coffee on the mobile app. It's convenient, paid for right away, and ready for me when I get to the store. Ready for me is a plus, since I can't have caffeine and usually Starbucks has to make the Decaf at the time of my order. Every once in a while the app won't show this particular location as a place for pick up, and I have to go to the store to order and pay for my coffee. That happened this morning. So I headed to the store and got there at 6:01am to order. I was first in line with a lady behind me. The lady behind the counter evidently took it personally when I mentioned that the app couldn't find them again today. She rudely stated, ""Well, we literally just opened 48 seconds ago, so..."" 
I said that I always order from my driveway at 5 minutes before opening so I can pick it up on my way to work. She again copped a rude tone and said, ""Well then you're the ONLY one. I've got customers who work at LA Fitness who have to wait until we open before ordering!"" I was embarrassed after that. Because she insinuated that I'm a liar. Because she spoke to me in an argumentative and condescending tone in front of another employee AND another customer. And, to top it all off, she then was as sweet as could be to the lady behind me, asking how her morning was going, etc. That's when I knew she wasn't just a sullen person to everyone. Just me. 
The sad part is there's not another Starbucks near my house that makes Decaf. Yes, that's right. Certain stores don't even have Decaf. I wish I could recreate my drink at home, then I could avoid angry employees all together. Too bad I don't know her schedule there. I would certainly stay away the days she works. I hate the thought if giving up my comfort drink. But I will not be spoken to in that manner again. And now, I begin my nursing shift trying to rid myself of the negativity I feel after her rudeness."
1/29/2017 9:01,Disappointed to arrive to find my local Starbucks in bracknell has changed hours and doesn't open until mid mornings on Sunday now. Guess I'll have to find somewhere else for my Sunday coffees Ì†ΩÌ∏î
1/29/2017 6:47,How come I can reload money on my loyalty card? It kept saying not right Starbucks password? What Starbucks password?
1/29/2017 3:14,Love itÌ†ΩÌ∏ãÌ†ΩÌ±äÌ†ºÌøΩ‚ù£Ô∏è
1/29/2017 3:04,Can we please please please keep Cold Brew in Australia??? Ì†ΩÌ∏äÌ†ΩÌ∏äÌ†ΩÌ∏ä
1/29/2017 2:02,"Dear Starbucks, 
Just want you to know how disappointed my family and friends are at your establishment on 970 Alamo Dr, Vacaville, CA 95687. My friend came in around 9 am today to ask management if she could set up a fundraising booth on the sidewalk between your establishment and the gas station next door. The fundraiser was offering the purchase of products with a portion going towards the cost of an autism service dog for my son. Since there was no manager on duty, shift leader Maxine, said 'no'. So my friend walked next door to the gas station convenient store (who owns the property, according to the barista that asked Maxine) and was granted permission. My friend and I set up the booth next to the convenient store. Around 3pm, cops showed up. Apparently, Maxine and my friend have a prior history. Maxine told Co workers that she asked us to leave the premise twice, when she never did! She barely said 'hi' when taking out the trash. So the Co workers called the cops based on Maxine's suggestion, and after being there for 6 hours, the cops asked my friend to leave. 
2 problems with this. 1, We are out in the general area, fundraising for a child in need. Autism is something that is very difficult to live with, this dog we're raising money for will help my son tremendously.  2, we were not soliciting anything. People came up to us if they were curious about our cause. The most we said to passing customers were ""good morning, have a good day"". Your employee told a bold face lie about asking us to leave, much less twice! Because she has a personal vendetta against my friend, does not give her the right to be a coward, and have a fellow employee call the cops on her. Today, that employee made Starbucks as a corporation look really bad. The manager will be called on Monday and informed about this situation."
1/29/2017 0:59,"I love the Starbucks at the Galleria mall at Roseville .
Barista's are so professional especially Erin. Keep up the good work."
1/29/2017 0:29,"I had a chilled drink created by the barista at Starbuck's in the Safeway store at 1781 Forest Drive in Annapolis, Maryland, that was excellent. It was made with strawberry, vanilla bean, and mango. I don't know the barista's name. He was working on Friday, January 27, 2017 in the morning before 10 am. I recommend that you contact him and arrange for the introduction of that drink to Starbucks menu. Thank you."
1/30/2017 23:59,Thanks for hiring refugees AND Veterans through the Starbucks Partners - Armed Forces Network!
1/30/2017 23:57,Thank you Starbucks! You have my support.Ì†ΩÌ≤ú
1/30/2017 23:57,"http://www.msn.com/en-us/money/companies/starbucks-ceo-schultz-plans-to-hire-10000-refugees-after-trump-ban/ar-AAmoa7m?OCID=ansmsnnews11

YOU LOST MY BUSINESS STARBUCKS!!! What about American Citizens (Not including the Vets) that want to work for you...... Disappointed..."
1/30/2017 23:57,"As the owners of the company, you can do what you please.  But you forget it's your customers that have made you what you are.  With there being so many unemployed and underemployed Americans, how dare you commit to putting non-Americans above the people that put you in that fancy office.  It's time, we as a nation, start to think of what's best for Americans.  You have lost more customers than you realize.  So, please continue with your un-Ameican stance.  Soon you will be unemployed or underemployed and you will finally understand what people are talking about."
1/30/2017 23:56,"Instead of hiring 10K refugees, why don't you hire 10K veterans??"
1/30/2017 23:55,Please include Veterans in your hiring along with the refugees Thanks
1/30/2017 23:54,"WOW!
I never thought I'd write this, 
but here it goes:
ThanksStarbucks
RefugeesAreWelcomeHere
FuckTheFuhrer

Also, could you please open a Starbucks in Gaza and share the love with Palestinians? ;)"
1/30/2017 23:54,Overpriced garbage. Doesn't surprise me you'd step over someone who stepped up. Cowards. Every last one of you snowflakes.
1/30/2017 23:54,"Thank you Starbucks!  Thank you for taking a side! 

In the words of Elie Wiesel ~ I swore never to be silent whenever and wherever human beings endure suffering and humiliation. We must always take sides. Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the tormented. Sometimes we must interfere. When human lives are endangered, when human dignity is in jeopardy, national borders and sensitivities become irrelevant. Wherever men or women are persecuted because of their race, religion, or political views, that place must ‚Äì at that moment ‚Äì become the center of the universe."
1/30/2017 23:53,great news starbucks now served sans bigots !
1/30/2017 23:52,"You are no longer my coffee. 

Dunkin donuts"
1/30/2017 23:51,"Well, I already loved you guys, but now I love you even more. Thank you for a being GOOD, HUMANE, and CARING organization. I wonder if those who are boycotting realize that you also give to veterans and many other wonderful causes?"
1/30/2017 23:51,boycottstarbucks never buying coffee from you guys again
1/30/2017 23:50,Done with you!
1/30/2017 23:50,"Thank you Starbucks, for standing up against the evil cabal. Thank you for showing integrity."
1/30/2017 23:49,Thank you so much for your stellar committment to our republic. Your company epitomizes the true America.
1/30/2017 23:48,Thank you for supporting the refugees.  I will be coming to your place of business to buy things to support you.  <3
1/30/2017 23:48,Will no longer support Starbucks
1/30/2017 23:48,Thank you for standing with refugees.
1/30/2017 23:46,"I will never again go to a Starbucks I was taking my family there once every week but since y'all want to get political and hire refugees ,,I will never again walk into a Starbucks neither will my family ,,,serve drinks don't get into politics"
1/30/2017 23:45,"Thank you, Starbucks!!!"
1/30/2017 23:45,Looks like I won't be buying your overpriced coffee products anymore! Hire a veteran instead!
1/30/2017 23:44,"Loved Starbucks before, love it even more now!‚ù§Ì†ΩÌ±èÌ†ºÌøªÌ†ΩÌ±èÌ†ºÌøªÌ†ΩÌ±èÌ†ºÌøª"
1/30/2017 23:44,gonna miss my blondes
1/30/2017 23:40,Every AMERICAN should stop buying their products! Let all illegals make money for ghem. Never went there before and sure won't now!!!
1/30/2017 23:39,"Vets and Americans who need work and you hire Refugees? 
BANNED!!!!!"
1/30/2017 23:38,Will never get a penny of my money when you hire refugees before Americans
1/30/2017 23:38,There are other places to buy expensive coffee:  Maybe time to boycott Starbucks and spend out money on companies hire Americans.
1/30/2017 23:38,My family and friends and the kids of Albiani and Pleasant grove High will boycott Starbucks! Thats over 2000 plus kids and family!
1/30/2017 23:37,I will NO longer support support Starbucks Coffee due to the new hiring policy concerning the hiring of refugees in the next 5 years especially since there are millions of Americans without jobs in the United States NOW!!!! What kind of idiotic logic does that make. I ask that EVERYONE BOYCOTT Starbucks until they resend this new hiring policy!!!!!!!!!
1/30/2017 23:37,"why would you hire refugees over current US citizens, This stupid reaction is why Trump got elected. boycottstarbucks."
1/30/2017 23:37,So a CEO will be hiring Refugees over Americans  ... In 2 years many democrats are up for re-election ... lets see how they do.  As for Starbuck's How about Hiring the American Homeless and Veterans first or is your alliance with foreign countries?  America First!  America Strong!
1/30/2017 23:36,"So I'm just wondering why not 10,000 US Veterans instead?"
1/30/2017 23:35,"Maybe you should try hiring more Americans!  How about veterans, high school students, what about all those people that are unemployed???  Anyone that chooses to support you after this statement is just as terrible as your company!"
1/30/2017 23:34,"I LOVE that you have pledged to hire 10,000 refugees. My daughter buys Starbucks all the time. Me, not so much, I pay the bills and you are a treat; but, I will be going out of my way to buy Starbucks more often."
1/30/2017 23:34,"Maybe you should stick to making coffee and stay out of politics, McDonalds will take my money and cost a lot less."
1/30/2017 23:31,I'll be getting a cup every time I go to Target!
1/30/2017 23:31,"‚ÄãI have owned stock for the last 15 years! I'm done! You no longer have my business. You do not spit in my face. I'm an American, this will not go without a fight from the citizens who help this business grow for many years. ‚ÄãYour choice to not support our President and speak in a manner that was disrespectful reveals the true mask you've been wearing. Welcome to the USA Starbucks. Let's see how the protesters who don't have jobs are going to support your company without mommy & daddy's money. Then again they might not be able to find employment with your company as they only hold degrees from the USA!"
1/30/2017 23:30,"Did you ever considering hiring 10,000 vets, or is that just not ""cool"" enough?"
1/30/2017 23:29,Done with you... not another cent to be spent with you...
1/30/2017 23:28,I will be coming in every chance I get.
1/30/2017 23:27,"Thank you Starbucks for standing up for what is right. People say we can't take refugees because they will be a drain on our society. You offer them work. Now those same people accuse you of hiring refugees instead of Americans, but you ALREADY hired vets and students!! Haters want to hate and they will, no matter what! Stay strong and continue to do right! You will profit more from that in the long run."
1/30/2017 23:25,"So, if you email starbucks telling them you want your money back from a gold card, they give you a case number and telephone number. Call them, they close your account and send you a check in 30 days for your balance amount. My money can be spent elsewhere."
1/30/2017 23:25,We go to Starbucks religiously..and was told that the Skinny / Sugar Free Mocha syrup is being discontinues!!   I sure hope that isn't the case..especially when the majority of the US is cutting down sugars from their diet. Our family only drinks beverages with sugar free options and the skinny mocha syrup is the star in those drinks. Would hate to leave the Starbucks fam to go elsewhere.
1/30/2017 23:22,"Your CEO stated today he is going to hire 10,000 refugees in a direct attack on President Trumps agenda ....... Really???? We have an unemployment rate that is through the roof, at the very least hire legal American citizens first!!! However, I'm not surprised as your company is located in the heart of left wing madness. I will  ""NEVER, EVER AGAIN"" (nor will my company) spend another penny supporting you or your products."
1/30/2017 23:22,"I'll just say if you want to be a good corp citizen, how about a program supporting minorities and if you want to support refugees it can support 10 in a safe zones verses 1 in the USA. So until that happens will not suport your company and I have a choice!!! What a joke!!!"
1/30/2017 23:21,iv never been a huge fan of sb coffee. but reading about the refuge policy has made me a huge fan. Im supporting starbucks from now on! great position !  This world needs more kindness !
1/30/2017 23:21,"Due to your proposal to hire 10,000 refugees in its stores worldwide, I will START regularly supporting Star Bucks!

"
1/30/2017 23:19,I love Starbucks. I love you even more when you support the same causes I do. I visit your store on 73rd & Columbus (NYC) every. single. morning. I would love to buy food and coffee from your 88th & Broadway store (also NYC) every single afternoon when I am at work but I cannot. That store has an impossibly long line every day and they are always out of anything I try to order.  Always. I would spend $5-$10 a day at the 88th & Broadway store but I cannot until you change because you have no supplies and an unreasonable wait time. Let me know when the problem is fixed and I would be more than happy to spend lots of money there. Thank you!
1/30/2017 23:19,"Hiring refugees is kindhearted,  I wont say it's not..... But to hire them before the thousands of Americans that are unemployed,  and the many Veteran's that are on our streets is wrong!!  

As much as I like your coffee..... I won't stand by your political views.  Henceforth,  I will no longer spend my money at your store(s)!!!!"
1/30/2017 23:19,"Dear Starbucks, 

I'm a broke law student, but I'm changing my morning route to buy my coffee at your Hyde Park Chicago location so that I can thank you for supporting refugees and standing up to Donald Trump.  

Please take further steps by refusing to renew  leases for your locations on Trump properties!"
1/30/2017 23:18,I'll take any Starbucks cards and/or merchandise that any of you boycotters are tossing!!!
1/30/2017 23:18,"Starbucks, an American company actively trying to keep Americans unemployed. But Tullys coffee or any other pro American coffee stand you can find."
1/30/2017 23:18,"To the Starbucks Corporation, as the wife of a uniformed service member, I want to applaud your pledge to employ refugees.  Thank you for the ray of hope in a frightening time, and for demonstrating humanity in the realm of business."
1/30/2017 23:17,goodbye Starbucks i drive in just about everyday and get a cup of coffee but after what you said this morning about hiring refugees i am done with you sad when a company gets into politics
1/30/2017 23:17,I will spread it far and wide that you hate America.
1/30/2017 23:17,I've drank my very last cup of Starbucks BoycottStarbucks
1/30/2017 23:17,"Not that I think this will get to you; I am sure you have your hands full. But I am extremely excited to see your kindness through this business. I don't drink Starbucks, but I wanna give my money to your company, so I'll start.
We stand with you.
Thank you."
1/30/2017 23:14,Thank you for your support and promise to immigrants.  I'll be stopping by for coffee tomorrow in support.
1/30/2017 23:12,"Thank you Starbucks! I am proud of your CEO for standing by his beliefs. I hope that the negative opinions of the CEO's plan does not deter him from taking action. I feel like every single time I turn around Starbucks is in hot water with some one, but Starbucks always comes out on top. And as long as Starbucks continues to act with others in their heart I believe the company will stay on top."
1/30/2017 23:12,Glad to be boycotting this business that will hire refugees over veterans or even regular Americans.
1/30/2017 23:12,"Why isn't Starbucks hiring Americans.  They'll hire l0,000 illegals.
They'll take my money but don't seem to be hiring unemployed Americans."
1/30/2017 23:10,"SCREW YOU STARBUCKS,,,,UN AMERICAN!!!!  I will NEVER buy ANYTHING from YOUR company or ANY other company associated with you!!!!  MAGA AmericaFIRST"
1/30/2017 23:10,Starbucks going to employ refugees?......I just threw out all my Starbucks cards......screw Starbucks!
1/30/2017 23:08,I wish Starbucks cared as much about veterans as they do about refugees...
1/30/2017 23:08,"how about instead hiring some of the 50,000 homeless US veterans, Starbucks? they're the ones you should thank for the freedom to sell your ridiculously-overpriced coffee!"
1/30/2017 23:07,"Starbucks betray America all the time now instead of looking after their own countrymen and helping the unemployed they want to employ 10,,000 refugees, the CEO is a drop kick at best who is more interested in his own political agenda than the well being of the company. No business should be sacrificed for those reasons this guy is a true sociopath he needs to go."
1/30/2017 23:07,"The problem with stating what you believe and then putting actions behind it is that a vast majority of people have no idea why or what or anything and so, they boycott, complain, curse, etc.  How about, ""Thanks Mr Schulz for trying to help poor people around the world since our government has (at least temporarilly) stepped aside.  No one said he was going to REPLACE Americans and that ILLEGAL IMMIGRANTS WERE COOL.,...Geez, it's just knowing the language that seems to be missing here."
1/30/2017 23:07,I have lost all respect and will never spend my hard earned money at your stores.  Hiring illegal immigrants is against the law and taking jobs away from AMERICAN CITIZENS is disrespectful.  I hope other customers decide to take their AMERICAN DOLLARS ELSEWHERE!
1/30/2017 23:06,Hire veterans and unemployed US citizens first! No more purchases from your establishment until you put American citizens first!
1/30/2017 23:04,Starbucks should hire American citizens first. You will lose my business if this happens....
1/30/2017 23:04,Thank you for standing up against hatred. I will be making more visits to Starbucks. All people deserve a decent life. A lot of these refuges have seems horrors that most people will never comprehend. The world needs to see love instead of hate. Thank you for helping people that really need it.
1/30/2017 23:03,Kudos to your CEO for committing to hire refugees around the world.  Great response to the US gov missteps on immigrstion
1/30/2017 23:03,Dissapointed that Starbucks decided to commit a crime by hiring ilegal aliens.  You will not get any business from me.
1/30/2017 23:02,Boycott Starbucks for not hiring Americans first.
1/30/2017 22:59,"If the article is true about Starbucks hiring refugees, then thank you for standing up to Trump!"
1/30/2017 22:58,how about hiring the Vets and homeless instead of refugees???? it's a wonder why alot of people don't go to Starbucks!!! Duncan Donuts is a lot better!!!
1/30/2017 22:58,"Keep up the good work, Starbucks! ShopStarbucks WeAreAmerica"
1/30/2017 22:57,"We have roughly 40,000 Homeless Veterans in America but rather hire these men that were willing to sacrifice their lives for you to have a business you pledge to hire 10,000 immigrants.
You need to straighten out your priorities.
BoycottStarbucks until you commit to hire just as many homeless veterans!"
1/30/2017 22:56,"Hiring 10,000 refugees? Anti trump? Ahhhh this company just gets better and better.

Don't worry haters, I'll buy an extra cup to offset you ‚òï‚òï‚òï"
1/30/2017 22:55,I fully support your statement against Trump! Thank you for being a light in the darkness! ‚ù§Ô∏èÌ†ºÌºπ‚òïÔ∏è I will be visiting Starbucks even more now!!
1/30/2017 22:54,"Still not a fan of your coffee, but love love LOVE your politics! Keep it up!"
1/30/2017 22:54,Hey Starbucks instead of hiring 10k refugees why don't you give those jobs to veterans? I no longer support your company and will never buy any of your products until you change your position boycottstarbucks
1/30/2017 22:54,"WELL DONE. It is one thing to support refugees, veterans and at-risk populations generally with lip-service. It is an entirely different situation to support them in deed. I applaud you."
1/30/2017 22:53,Hire  refuges?  Why don't yall hire  VETERANS?  I'm boycotting your establishment for sure now!
1/30/2017 22:53,Thank you for standing up for what's right!  Loyal customer Ì†ΩÌ≤ï
1/30/2017 22:52,"Yeah Starbucks! The only starbuck is very much out of the way, but I will be making an effort to go there. I will support you!! <3"
1/30/2017 22:52,Thank you for hiring vets and refugees
1/30/2017 22:52,"My husband and I buy starbucks every VA appointment he has. No more. You put a store in a veterans clinic in Toledo Ohio and want the veterans to buy up your product, suck money off them but you put 10000 refugees over the Americans you profit off of? There are jobless vets, homeless men and women stuck in a trap. You obviously have the ability to help people in need but just not homless people or vets that fought for your ability to profit off the American people. Your thinking.. 10k refugees = more people to advertise sales to. Your highly inflated coffee prices are just a reflection of that.  You manipulate the public into thinking youre ""charitable"" and ""humanitarian"" but youre really a money hungry fraud."
1/30/2017 22:52,I am done supporting Starbucks. I will never go there again because they have chosen to hire refugees over United States citizens. We have plenty of our own people who need a job. Bad decision Starbucks.
1/30/2017 22:50,I have just switched my coffee and tea drinking to Starbucks only
1/30/2017 22:49,Thank you Starbucks for standing up against HATE!  You have my support!
1/30/2017 22:49,Thanks. Will double my Starbucks intake now.
1/30/2017 22:48,"Thank you for continuing to be awesome! I don't feel so guilty about spending hundreds of dollars on lattes a year when I know it supports a company that, in turn, supports human rights & compassion for all."
1/30/2017 22:48,"Good for you, Starbucks. Keep standing strong against bigotry and insanity."
1/30/2017 22:47,"I've been a very loyal customer for many years and have spent thousands of dollars at Starbucks. Given your irresponsibility, stating you'll hire 10,000 illegal refugees in the next 5 years, I will no longer patronize your company. What a disgrace and a slap in the face to the thousands of men and women of our armed forces who have allowed you to be FREE to do all of the things you obviously take for granted. 

Why are you not boldly stating you'll hire 10,000 American Veterans? 

It's also an insult to Americans in general, including me, my family, my friends and my co-workers. None of us (and this is A LOT of people) will spend our hard earned money at Starbucks anymore. 
You are a disgrace to our nation. How sad.

You truly deserve the massive loss of revenue you'll experience and the negative publicity."
1/30/2017 22:45,Boycotting overpriced Starbuks!!! Bucking the Starbucks!
1/30/2017 22:44,"Thank you, Starbucks !!!!!!!!!!!!!!! We appreciate your efforts to protect American and more importantly human values!"
1/30/2017 22:44,Why dont you do the right thing and start up Starbucks in those country that they are coming from then you could employ in their countries OHHH that right you arent allowed
1/30/2017 22:43,"I haven't been to a Starbucks in months, but I'll see you tomorrow morning."
1/30/2017 22:41,I think Howard Schultz (sp?) decision to hire refugees is positive so long as they are NOT illegals.
1/30/2017 22:40,Good job protecting immigrants. Will buy from you more often now.
1/30/2017 22:40,"Dumped the Starbucks stock from my retirement portfolio today. You picked your side, I picked mine."
1/30/2017 22:40,"I'm finished with Starbucks the liberal support that comes from this corporation, I'm Christian white middle class male, I'm not a racist but I'm America first in my thinking and pro 2nd amendment. BTW Tullys makes better coffee anyhow."
1/30/2017 22:38,"I'm so baffled by the people who call themselves Christians, who also call for a Starbucks boycott.  I, for one, thank you, Starbucks, for taking a stand, and helping those who need it.  I will continue to support your corporation, now more than ever!"
1/30/2017 22:36,"Well, Starbucks, it's been a good run.  I've been a customer for as long as you've been in VA.  But now I'm done thanks to your temper tantrum you're throwing towards Trump.  You seem to forget that there are plenty of people that DO support him and we're fed up with the behavior we're witnessing from liberals all across the country.  I'm so done with Starbucks."
1/30/2017 22:35,Starbucks thank you for stepping up for human rights and refugees. This makes your coffee taste all that much better today!
1/30/2017 22:34,Do you want to hire 10000 veterans or refugees... make up your mind!
1/30/2017 22:34,"Hearing the recent news, I will now start buying Starbucks.  You may need some support.  Bold move."
1/30/2017 22:33,you really want to alienate half of the country...
1/30/2017 22:31,"I am no longer a supporter of the Starbucks Franchise.  I know I am just one person.  None the less, as a true company you should care about losing even just one."
1/30/2017 22:30,"Starbucks, your response to this ban by employing non-American citizens at the expense of Americans who would need that position has me upset at you to say the least. You are recklessly allowing unemployment and shorter shifts and I cannot and will not support this idea behind your actions. I will be making my own coffee from now on until you decide to reverse this notion that you are doing this for America while giving away jobs to those not of America. I am willing to be served by a snowflake, a liberal or even a Muslim as long as they are American but not by someone who is fleeing their country instead of taking up arms like our own brave soldiers to protect their own country from terrorists and those seeking to overrun it with lawlessness and a disregard to human life. Unemployment may be low at this point in time but that is no excuse to jeopardize it just to give a slap to the face of any politician. You are no different than any other company seeking to move over seas and fill their offices with other nations while bleeding the American people dry. We need jobs just as much as they do.

How can we support others when we can hardly support ourselves?"
1/30/2017 22:28,"Thank you Starbucks for taking a stand to help the less fortunate. It's always nice to see a company do the right thing, even when it would be easier to do nothing."
1/30/2017 22:24,"I currently purchase approximately 3 times a day at Starbucks stores. Approx $9 to $15 every day,365 days a year, LOL. 
I am considering taking my business elsewhere because of the comments from your CEO. I thought that's an anti American statement. 
So sad"
1/30/2017 22:24,Most homeless and veterans wouldn't take a job if offered at Starbucks.   They had their chance now let someone who wants to work make my coffee!!!!!!
1/30/2017 22:24,"Thank you, Starbucks for your inspiring stand regarding Trump's current ban on immigrants and refugees."
1/30/2017 22:23,Too many homeless at your locations.
1/30/2017 22:23,"As someone who was told that I wasn't flexible enough with my hours so wasn't hireable, why couldn't you start off by helping single parents, or veterans, or homeless."
1/30/2017 22:22,"My ignorance on the issue has been made apparent. I'm glad to hear they are doing this.

Why don't you pledge to hire 10k veterans instead of refugees. VetsFirst"
1/30/2017 22:22,Why don't you hire AMERICANS over the next 5 years instead of those people? I was right about your company not backing the American people
1/30/2017 22:20,Boycott Starbucks. ...stay out of politics
1/30/2017 22:18,"congratulations to all your employees- your Board, Howard Schultz for his leadership and courage--   I was in your store in Seattle the first day you opened and could not be prouder to be supporterr!! congrats and thank you for demonstrating corporate leadership and values and for Howard for standing up!! you are the best!"
1/30/2017 22:18,So happy Starbucks is standing up for what is right! Can't wait to feed into my coffee addiction with you! Morecoffeeforme
1/30/2017 22:17,"Thank you, Starbucks! You have earned my business!! :) 
‚ù§Ô∏èÌ†ΩÌ≤õÌ†ΩÌ≤öÌ†ΩÌ≤ôÌ†ΩÌ≤úÌ†ΩÌ±çÌ†ºÌøªÌ†ΩÌ±çÌ†ºÌøºÌ†ΩÌ±çÌ†ºÌøΩÌ†ΩÌ±çÌ†ºÌøæÌ†ΩÌ±çÌ†ºÌøø"
1/30/2017 22:16,Thank you for looking out for the welfare of the refugees!  I will make an effort to find your stores when I need caffeine!
1/30/2017 22:15,Thank you Starbucks!  For your support of veterans AND refugees and for being an awesome company to work for!
1/30/2017 22:13,We will support you Starbucks! I am so sorry to see many people wrote boycotting tweets and messages.
1/30/2017 22:12,I will no longer buy Starbucks after hearing their news statment about hiring  ten thousand illegal people because president Trump is trying to keep us safe.  A former customer
1/30/2017 22:12,Can you please confirm your hiring practices.  I'd like to hear it from you.  Thank you.
1/30/2017 22:11,You suck and yes I am unliking your page!!!!!!!!!!!!!!!
1/30/2017 22:10,Thank you for shining a moral light in a dark time. Our family are heavy Starbucks hitters....we will continue our patronage. Thank you for embracing refugees!
1/30/2017 22:09,Thank you Starbucks for your recent statement about helping out the refugees... We are your biggest fan!
1/30/2017 22:09,Thank you for making an effort to hire people who are less privileged!
